time,temp,humidity,windspeed,cloudcover,conditions,PM10,PM2.5,O3,NO2,CO,SO2
01-01-22 15:00,14,62.26,1.3,31.1,Partially cloudy,80.049,76.059,5.8,67.805,0.9025,5.3998
01-01-22 16:00,13.7,62.49,4.6,58,Partially cloudy,116.69,99.29,12,43.93,0.2656,6.4372
01-01-22 17:00,13,62.58,4.5,52.1,Partially cloudy,46.537,23.964,7.2,64.94,0.4222,7.98
01-01-22 18:00,12.8,58.91,3.8,29,Partially cloudy,55.914,32.643,6,70.097,0.4431,3.6442
01-01-22 19:00,13,56.5,3.7,52.4,Partially cloudy,48.06,26.204,6.8,61.311,0.3318,5.0274
01-01-22 20:00,10.9,71.26,9.4,89.1,Partially cloudy,42.05,27.941,8.6,52.907,0.1624,3.1388
01-01-22 21:00,11,71.27,7.4,89.1,Partially cloudy,28.109,21.206,16.6,35.908,0.0139,2.1546
01-01-22 22:00,12.7,58.23,10.6,7.4,Clear,15.156,15.193,12.4,36.29,0.0394,2.6334
01-01-22 23:00,8.9,81.47,0.3,89.1,Partially cloudy,21.941,14.03,13.2,45.84,0.1589,2.8728
02-01-22 0:00,9.9,76.46,5.1,89.1,Partially cloudy,29.935,16.891,8.8,60.356,0.4466,3.1654
02-01-22 1:00,12.4,60.4,3.6,8.6,Clear,47.839,24.762,13.4,44.503,0.1612,3.3782
02-01-22 2:00,8.8,82.08,0.2,99.4,Overcast,32.125,14.321,16.6,36.099,0.1299,3.0324
02-01-22 3:00,8.9,81.78,0,99.4,Overcast,19.109,16.911,14.4,39.728,0.109,2.793
02-01-22 4:00,10.5,65.14,7,8.5,Clear,20.978,14.093,7.6,44.121,0.1554,2.261
02-01-22 5:00,7.9,87.51,3.4,97.3,Overcast,23.976,19.823,8.2,38.391,0.1937,1.8354
02-01-22 6:00,7.9,87.51,0.3,99.4,Overcast,25.984,13.206,13.2,18.527,0.1241,1.6492
02-01-22 7:00,7.1,85.99,2.9,94.2,Overcast,21.039,22.637,9.2,23.875,0.1183,1.5694
02-01-22 8:00,7.8,87.83,0,85.8,Partially cloudy,18.022,15.289,5,29.605,0.152,1.8088
02-01-22 9:00,9,87.28,0,85.8,Partially cloudy,22.961,20.823,6,29.605,0.1717,1.729
02-01-22 10:00,10.2,80.76,0.6,70.4,Partially cloudy,35.891,29.732,5.4,40.11,0.2819,2.261
02-01-22 11:00,12,66.47,0.2,85.8,Partially cloudy,37.985,23.205,8,37.818,0.2042,1.995
02-01-22 12:00,14,58.32,3.6,48.8,Partially cloudy,28.114,20.094,18,24.83,0.1137,2.793
02-01-22 13:00,15.7,47.04,3.6,31,Partially cloudy,27.008,19.798,26,25.594,0.1218,4.4954
02-01-22 14:00,15.8,51.63,0.1,48.8,Partially cloudy,28.983,22.911,31.2,23.111,0.0487,4.0166
02-01-22 15:00,14.9,51.37,7.4,0,Clear,20.075,10.384,33,23.684,0.0532,3.6176
02-01-22 16:00,14.7,48.11,6.9,0.1,Clear,14.062,12.909,14.2,54.435,0.1902,5.1338
02-01-22 17:00,9,70.63,3.7,0,Clear,28.875,17.852,2.8,84.04,0.7505,5.719
02-01-22 18:00,6,75.81,0.1,0,Clear,68.587,44.177,3,80.984,1.0765,4.4688
02-01-22 19:00,8.2,70.06,7.2,0,Clear,118.596,85.7581,3.8,66.85,1.1322,3.8304
02-01-22 20:00,5,81.25,3.4,0,Clear,118.01,90.8781,3,48.132,0.7482,3.2984
02-01-22 21:00,3,86.7,3.4,0,Clear,89.243,70.759,2.4,45.84,0.6972,2.9526
02-01-22 22:00,3.3,85.93,8.3,0,Clear,71.191,59.328,2.2,41.829,0.522,2.1546
02-01-22 23:00,2,86.94,3.4,0,Clear,60.028,52.223,3.2,40.301,1.0614,3.3782
03-01-22 0:00,1,93.4,3.6,0,Clear,97.703,80.91,3,38.964,1.3456,3.591
03-01-22 1:00,2.9,89.72,7.2,0,Clear,115.835,96.557,2.6,37.245,1.1171,2.3674
03-01-22 2:00,0,92.98,3.4,0,Clear,99.156,69.83,2.8,25.021,0.8294,1.8354
03-01-22 3:00,-0.9,99.61,0.1,0,Clear,73.304,68.031,1.8,20.628,0.5371,1.3034
03-01-22 4:00,1,94.2,7,0.1,Clear,49.294,45.729,1.6,17.381,0.37,1.2768
03-01-22 5:00,-1.9,100,0.2,8.2,Clear,38.135,39.192,2.2,14.516,0.6937,1.3034
03-01-22 6:00,-2,100,1.9,8.2,Clear,61.705,58.364,2,15.662,0.7366,1.5162
03-01-22 7:00,0.2,94.79,3.6,29.9,Partially cloudy,62.992,59,2,16.426,0.7006,1.9684
03-01-22 8:00,-2,100,1.8,31.1,Partially cloudy,66.953,58.031,1.8,20.437,0.8259,5.7456
03-01-22 9:00,0.8,93.39,0,31.1,Partially cloudy,75.897,56.063,2,29.987,0.6392,8.0864
03-01-22 10:00,4.3,85.33,3.5,59.1,Partially cloudy,70.072,55.031,2.6,59.592,0.5893,5.4264
03-01-22 11:00,5.8,81.99,1.9,4.6,Clear,78.895,57.906,2.8,56.345,0.6751,4.522
03-01-22 12:00,7.9,76.42,0.1,4.6,Clear,85.926,59.941,4.4,50.615,0.3712,2.8728
03-01-22 13:00,10,64.43,3.6,49.8,Partially cloudy,59.293,40.592,5,57.682,0.471,3.7506
03-01-22 14:00,11.1,61.79,0.3,8.2,Clear,95.595,66.069,5.4,65.513,0.5371,4.9476
03-01-22 15:00,10.2,64.85,2.8,8.2,Clear,99.9661,73.748,4.2,77.737,0.6252,16.1462
03-01-22 16:00,9.2,73.67,1.7,87.8,Partially cloudy,98.016,72.075,2.6,78.119,0.7911,11.5976
03-01-22 17:00,6.3,85.4,3.9,0,Clear,125.867,93.248,3.4,84.613,1.254,9.6026
03-01-22 18:00,4.3,85.18,4.5,0,Clear,164.673,110.494,4.8,84.231,2.0288,8.2194
03-01-22 19:00,3.1,86.95,4.2,49.5,Partially cloudy,209.637,131.407,3.8,73.153,1.6275,5.7456
03-01-22 20:00,2.3,91.67,2.4,0,Clear,199.08,143.668,3,63.221,1.3526,5.6392
03-01-22 21:00,2.3,92.03,3.8,0,Clear,155.355,121.674,3,42.784,1.3085,4.3358
03-01-22 22:00,3.6,88.51,3.6,2.7,Clear,127.289,104.515,3.4,45.267,1.8838,5.32
03-01-22 23:00,1.2,92.68,0.5,0,Clear,179.586,133.88,3.2,36.672,2.0022,5.2402
04-01-22 0:00,0.2,99.22,0.2,0,Clear,194.883,153.288,2.8,33.043,1.5532,4.0432
04-01-22 1:00,1.7,91.63,7,2.2,Clear,147.563,116.241,2.4,27.886,1.2946,2.8196
04-01-22 2:00,0.1,92.98,0.1,0,Clear,108.328,95.7209,2.4,25.212,0.7621,2.0216
04-01-22 3:00,0,93.35,0.2,0,Clear,77.2419,68.047,2.4,21.201,0.8433,1.596
04-01-22 4:00,1.7,94.11,3.7,1.7,Clear,77,69.9041,3.2,16.617,1.6391,2.2078
04-01-22 5:00,-1.9,93.24,0.1,0,Clear,128.393,128.107,3.4,11.46,1.5614,1.8886
04-01-22 6:00,-1.9,92.87,0,2.5,Clear,124.038,121.331,2.6,17.763,1.3375,2.0482
04-01-22 7:00,-2.7,98.1,0,31.1,Partially cloudy,116.084,103.55,2.4,18.909,1.16,3.192
04-01-22 8:00,-1.9,93.24,0.1,87,Partially cloudy,105.08,91.448,2.4,17.381,1.2192,2.8462
04-01-22 9:00,-0.8,92.93,1.8,52.1,Partially cloudy,110.951,90.036,2.2,21.01,1.3259,5.5328
04-01-22 10:00,4.4,84.19,3.6,40.1,Partially cloudy,111,109.413,2.4,54.817,1.1704,4.3092
04-01-22 11:00,3.2,98.86,1.7,8.2,Clear,124.867,111.941,3,94.354,0.9152,4.3092
04-01-22 12:00,8.2,74.76,0.2,4.6,Clear,113.093,95.47,4.8,61.311,0.7668,5.4796
04-01-22 13:00,10.1,69.22,3.9,49.2,Partially cloudy,101.127,88.217,8.8,43.357,0.326,3.192
04-01-22 14:00,11.1,65.78,2.7,8.2,Clear,55.524,43.432,10.4,50.233,0.3202,2.5004
04-01-22 15:00,10.1,70.31,0.9,8.2,Clear,65.871,48.777,2.8,83.276,0.6983,3.8304
04-01-22 16:00,9.1,67.14,7,60.7,Partially cloudy,92.796,68.254,2.4,88.624,0.9199,2.8462
04-01-22 17:00,6.3,79.89,4.6,4.6,Clear,103.911,82.475,3.4,68.378,0.9384,6.8628
04-01-22 18:00,4.3,91.1,2.5,4.6,Clear,126.815,99.502,5.2,74.49,2.0787,5.2668
04-01-22 19:00,5.4,80.15,7.1,2.3,Clear,215.949,179.435,3.2,65.704,1.7528,5.9584
04-01-22 20:00,3.4,85.08,0.9,0,Clear,182.264,142.512,3.6,56.154,1.4952,4.5752
04-01-22 21:00,1.5,90.9,4.2,0,Clear,144.445,118.731,2.8,47.368,1.3537,4.4156
04-01-22 22:00,3,88.27,3.6,0.2,Clear,141.023,116.075,2.4,42.975,1.2087,3.9634
04-01-22 23:00,0.4,91.55,0.8,0,Clear,125.121,100.597,3,40.683,1.283,3.6708
05-01-22 0:00,-0.5,97.67,2.4,0,Clear,123.017,91.326,2.8,31.515,1.4198,3.1388
05-01-22 1:00,1.2,92.98,7.3,0,Clear,131.957,109.353,2.6,30.56,1.1264,2.5802
05-01-22 2:00,-1.6,98.82,0.5,0,Clear,101.267,83.8,2.4,25.021,0.9419,2.7132
05-01-22 3:00,-1.8,99.6,0.3,48.6,Partially cloudy,87.153,71.366,2.6,18.145,0.9918,1.8886
05-01-22 4:00,-1.9,94.85,3,41.5,Partially cloudy,84.0229,79.675,3,15.662,1.7075,2.3408
05-01-22 5:00,-2.7,99.6,0.4,42.6,Partially cloudy,139.375,138.108,2.8,13.561,1.5846,2.0748
05-01-22 6:00,-1.8,92.5,0.4,42.6,Partially cloudy,132.067,128.358,2.4,14.134,1.2447,1.7822
05-01-22 7:00,-1,96.56,3.7,39.9,Partially cloudy,108.255,96.9771,2.4,16.426,1.0011,2.7132
05-01-22 8:00,-0.8,92.56,0.6,44.2,Partially cloudy,93.125,88.288,2.8,18.336,1.2412,3.4846
05-01-22 9:00,-0.7,98.82,2.1,99.4,Overcast,100.927,92.85,2.6,23.111,1.1414,3.2452
05-01-22 10:00,2.6,92.38,3.5,53.7,Partially cloudy,109.897,95.906,2.8,58.446,1.0823,5.6924
05-01-22 11:00,1.6,97.71,2.6,96.1,Overcast,114.94,104.714,3,62.457,1.3607,5.8254
